selector,trial,role,nickname,fingerprint,ip,country,bandwidth
Tor,0,guard,Quetzalcoatl,DPSGlvAESCxEXYdb43aljj1mBJc,45.141.215.40,Poland,11000
Tor,0,middle,plasmarifle,9D1XXQqBbeVkeyD005iOa2SKDMQ,80.239.189.76,France,24000
Tor,0,exit,eo207,h9bKPR1givNR37NcmC+JPXZut2Y,23.129.64.207,United States,6800
Tor,1,guard,ForPrivacyNET,s4/nVNfl4Vy4p97fiWAN0HPaddQ,185.220.101.197,Germany,43000
Tor,1,middle,w00naningansAMS1,7GBCggxCVOMlVDPBw/GMBBNQP/A,45.58.190.74,United States,37000
Tor,1,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Tor,2,guard,NTH34R8,QQ0lclFLTXGgkezc4QMA31JpohA,192.42.116.186,The Netherlands,29000
Tor,2,middle,Lily,yJl29BNRs/DNolw4W0HtJqJ2V5o,5.255.101.24,The Netherlands,15000
Tor,2,exit,eo205,YpaIIsQws4iFaMWd6ns8TRpmp74,23.129.64.205,United States,6700
Tor,3,guard,art1kel,6BFoS9wPcYyZqVMLNWZUoqUDoSI,23.132.28.85,Canada,2400
Tor,3,middle,ZoneXChat,BcRKwK3hvlNSKU4iXvaywqxY2/k,82.25.91.245,United Kingdom,1500
Tor,3,exit,eo222,ClcABd7e42FARnt2r7VzOxkdDrY,23.129.64.222,United States,6700
Tor,4,guard,Tor1EerieIndiana,L3FW9DPUa/QTOAaLPUjeOYd7PQ8,212.227.127.105,United Kingdom,76000
Tor,4,middle,Exits4Privacy,ygc3yFGbePZVa8sJe55L/poEbak,192.76.160.145,Germany,170000
Tor,4,exit,dimensiondoor,4jTFVoiTRUcRJA2tiG/jFe8nXds,23.129.64.176,United States,9300
Tor,5,guard,Indigold,TPIE9mRSyJcSuc9ROiE8HwPY9wY,46.4.74.237,Germany,110000
Tor,5,middle,marcuse7,7/En+j6FCxe/mpgK+wEKFy9sb68,178.20.55.16,France,26000
Tor,5,exit,winner,/gUt1gGBWRmECFBlwFkxq9SCZgM,23.129.64.151,United States,7500
Tor,6,guard,Quetzalcoatl,4PwrYDO8wa1crClaCxnPbPU+7RE,45.138.16.69,Poland,18000
Tor,6,middle,cozybeardev,fPO/0N5a03csudKTv5JRgTKWkkw,176.65.149.87,The Netherlands,86000
Tor,6,exit,llandaf,Nc/V3CZwnodYM3qs1QiT4TYw+gE,23.129.64.166,United States,7700
Tor,7,guard,torNodes211,+QUpZuJUhAkR5vB0Sib0J0Ualk0,195.133.88.211,Austria,19000
Tor,7,middle,MichaelAngelo,reo9Vgn87B7y9EJsSTE+uC3+Pms,178.63.40.99,Germany,96000
Tor,7,exit,landau,UhOQ/a2GGrjw93J9UeWV1Q+cdUs,23.129.64.158,United States,7200
Tor,8,guard,mmmskyscraper,Xfu7PmqNUAMoQo0ZgyJsVhG50nc,89.163.150.143,Germany,71000
Tor,8,middle,torexitams07,/bISpHpYzMWPHq3Bzh202swjNuk,45.66.35.27,The Netherlands,120000
Tor,8,exit,poitras,FONGhGyHqIRNWi58F4VaiRqm1/s,23.129.64.146,United States,5000
Tor,9,guard,netlixor,dlOKmKr1xhh6ReffmEveuo3l9H4,104.252.2.20,United States,47000
Tor,9,middle,Playstar01,WXWFi2ofN8zJYCa5RurPCOF3LQ4,192.121.44.26,Sweden,17000
Tor,9,exit,TorMcTorface,BCHrrDx98O5GWRY9G/yubaZUPJ0,23.129.64.177,United States,7700
Tor,10,guard,FTPhalifaxRWTH,AI6uIjsRDI7e4g0G+w3UxD4+AUI,137.226.34.45,Germany,82000
Tor,10,middle,Exits4Privacy,qZa8VHRzfI6ijp9UplmzewqlM1M,192.76.160.154,Germany,170000
Tor,10,exit,eo209,4a/mlyQfZFe2xSoVhXa04RKi+JQ,23.129.64.209,United States,6600
Tor,11,guard,despacitor,4A39VNwWXVRS+9NTDTAYba0Bagw,163.172.53.201,France,74000
Tor,11,middle,fabod4l,zmg7zTgab7qFshzzkILHp5pD3vg,64.65.1.42,United States,3900
Tor,11,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Tor,12,guard,redback,RH2W05j340CzHUY0fbaOf+g/ilo,62.67.28.50,Germany,6400
Tor,12,middle,KryptoKiste,4RmsLVyJ1jL/BiSXB9vHDz+HcA4,95.216.159.94,Finland,25000
Tor,12,exit,landau,UhOQ/a2GGrjw93J9UeWV1Q+cdUs,23.129.64.158,United States,7200
Tor,13,guard,Anguiped,tvalbF2xz7GGkmlZI7PkKXWMmjo,51.89.81.247,United Kingdom,89000
Tor,13,middle,Freebsd2324,H3jUfSC6Os+dzlD0Uzpc6iMs85g,148.251.125.117,Germany,150000
Tor,13,exit,NotYourINTERNET,/qWGMtzeQy+qKBX8UhP/+EEUWG8,64.190.113.221,United States,7000
Tor,14,guard,objectivemeninsky,BWpalhu67MkmT9811pFmj0bAQYc,135.181.99.59,Finland,12000
Tor,14,middle,GreenOnion,/7S/KuiWyo57PEGYVTRkFddD6Ik,146.59.15.186,France,73000
Tor,14,exit,goldwasser,ImKRHFNhjv9hA1a8QLmimP7B2jc,23.129.64.137,United States,5000
Tor,15,guard,blahhhhh,ufHALcOQxrnogytB8Wk2hEcWZ+s,209.205.160.229,United States,1700
Tor,15,middle,LaserSystem,K5T++WjJlJ/S8Q6xVJOElLL1BSc,178.165.126.221,Ukraine,10000
Tor,15,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Tor,16,guard,Medulla,rze5UfdtK7V3Nm+gWdGxkT3XTUE,188.165.137.247,France,110000
Tor,16,middle,mentoreth1,owk7cppXZyrgcXzfOwnjOCbzZYI,192.76.153.253,The Netherlands,64000
Tor,16,exit,eo199,mVG9Jp0YbfNrEnTPdKSqRdZvPEI,23.129.64.199,United States,6100
Tor,17,guard,Zensursula,SdIojDbteP8HwXoLL1Zz28HfMWQ,194.164.197.45,Germany,73000
Tor,17,middle,alexf,PlmeQhE94XT5DiE/nLgYdHugrjY,45.157.234.148,Germany,200000
Tor,17,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Tor,18,guard,Todry542,mip+Vcwh3yxhcQaP2d9rNatQQTI,89.80.212.133,France,150000
Tor,18,middle,DFRI138,z1+zVa4iR0j1ac5xrKIULgMAxaU,171.25.193.132,Sweden,29000
Tor,18,exit,eo178,XL0woFBDx1KUygcVA0/Rn24ZM+c,23.129.64.178,United States,8500
Tor,19,guard,TORfuExit04,0Bv5q21woPt8j4pvj6O4oyiiXaE,37.114.50.142,Germany,100000
Tor,19,middle,wordsworth,gFLZlICXxbqo/iURDb+iSWxwCWQ,64.65.62.161,United States,10000
Tor,19,exit,blahaj,2ukKI5Ll5sLfvMT/iK/pJe+/PR8,23.129.64.225,United States,5600
Tor,20,guard,Beanbag,ogjGbjuvMrcJIOtq+AgffPpdsdE,136.243.176.179,Germany,110000
Tor,20,middle,shawtylod4l,j73jWNEo/hWHcY7Y89JIF89qy0U,64.65.1.41,United States,9800
Tor,20,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Tor,21,guard,prsv,/aqDWyZXyouBWBeRaSDSO92hi1I,185.177.238.26,Albania,30000
Tor,21,middle,TORKeFFORG23,vYEs2uFWKCOiJBqMNBGg6zjklkQ,193.189.100.203,Sweden,39000
Tor,21,exit,eo212,JbVSKa38qXH15bwCvds6hcVSlA8,23.129.64.212,United States,5200
Tor,22,guard,marcuse1,oxnWRHsrQQdHfhJu5KK3w4ElFJ4,178.20.55.16,France,25000
Tor,22,middle,relayongorellik,3zkIYLVhC46ZxaeLQJmjcFzTaxc,185.220.100.251,Germany,120000
Tor,22,exit,agnese,UruOXLJBaeBEJaXi83lm/i2i9rY,23.129.64.173,United States,8100
Tor,23,guard,rainbowland,h2x85Dd0NmJQ0+do5pDaudS11aM,37.218.242.26,The Netherlands,130000
Tor,23,middle,Tor0x800,4J4aVw5yZune1CcU8n09lF2bTvQ,185.80.30.102,Czechia,140000
Tor,23,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Tor,24,guard,torrelaynbg2,VT1+q9XBJSREJofF45Rgfe6ztUI,46.224.52.13,Germany,14000
Tor,24,middle,JohandExit,4RNPOUcMXoSGMh7gVQbZp9ZSim4,185.40.4.44,Norway,51000
Tor,24,exit,klein,GG8EbYiV4TYms2O4eb0V84pSxrw,23.129.64.141,United States,6300
Tor,25,guard,7DF785A8AF7E9BE685C,B9D4Igvq+XjFl5o6T04XjIENRPc,46.167.244.21,Czechia,20000
Tor,25,middle,Quetzalcoatl,PWKJeUwpuFlyb7URTuhGWnrVHmE,192.159.99.74,The Netherlands,13000
Tor,25,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Tor,26,guard,CSanders,cQFlSIMt0m4boNMhbXXzp3Z5Bio,138.201.19.25,Germany,91000
Tor,26,middle,anonymo05,2ApWPeb2oLLLTCnqfrZsEN2eO3E,185.156.174.234,Czechia,56000
Tor,26,exit,eo187,DxQADibWP6k8lrPwj0UxlicV1bs,23.129.64.187,United States,6500
Tor,27,guard,ASqUADeo,WFyFXyyoaLLr/xh86huFUIQD6G8,45.154.98.33,The Netherlands,53000
Tor,27,middle,robstone,riL+F0CpLLKg3ucENX1REziq07o,64.65.0.25,United States,52000
Tor,27,exit,eo193,jKM2iLmPDqGyU+yvrFHzUDK93Kw,23.129.64.193,United States,6600
Tor,28,guard,Unnamed,DjLvMYQZ0wBcMAOv9NFWapQdpIQ,104.152.209.217,Canada,7000
Tor,28,middle,Mewse,uM5yWIwjFMZRO/SzgXhWpOsxT20,45.128.133.242,Belgium,26000
Tor,28,exit,horgabost,HStkAZcBObKwANYzSWifErPjJyM,23.129.64.174,United States,6600
